lon,lat,lat_lon_index
255.5,30,1
255.5,30.5,2
255.5,31,3
255.5,31.5,4
255.5,32,5
256,29.5,6
256,30,7
256,30.5,8
256,31,9
256,31.5,10
256,32,11
256.5,29.5,12
256.5,30,13
256.5,30.5,14
256.5,31,15
256.5,31.5,16
256.5,32,17
257,29.5,18
257,30,19
257,30.5,20
257,31,21
257,31.5,22
257,32,23
257,32.5,24
257.5,30,25
257.5,30.5,26
257.5,31,27
257.5,31.5,28
257.5,32,29
257.5,32.5,30
258,30,31
258,30.5,32
258,31,33
258,31.5,34
258,32,35
258,32.5,36
258,33,37
258.5,30,38
258.5,30.5,39
258.5,31,40
258.5,31.5,41
258.5,32,42
258.5,32.5,43
258.5,33,44
259,29.5,45
259,30,46
259,30.5,47
259,31,48
259,31.5,49
259,32,50
259,32.5,51
259,33,52
259,33.5,53
259,35,54
259.5,29,55
259.5,29.5,56
259.5,30,57
259.5,30.5,58
259.5,31,59
259.5,31.5,60
259.5,32,61
259.5,32.5,62
259.5,33,63
259.5,33.5,64
259.5,34,65
259.5,34.5,66
259.5,35,67
259.5,35.5,68
260,28.5,69
260,29,70
260,29.5,71
260,30,72
260,30.5,73
260,31,74
260,31.5,75
260,32,76
260,32.5,77
260,33,78
260,33.5,79
260,34,80
260,34.5,81
260.5,28,82
260.5,28.5,83
260.5,29,84
260.5,29.5,85
260.5,30,86
260.5,30.5,87
260.5,31,88
260.5,31.5,89
260.5,32,90
260.5,32.5,91
260.5,33,92
260.5,33.5,93
260.5,34,94
261,26.5,95
261,27,96
261,27.5,97
261,28,98
261,28.5,99
261,29,100
261,29.5,101
261,30,102
261,30.5,103
261,31,104
261,31.5,105
261,32,106
261,32.5,107
261,33,108
261,33.5,109
261,34,110
261.5,26.5,111
261.5,27,112
261.5,27.5,113
261.5,28,114
261.5,28.5,115
261.5,29,116
261.5,29.5,117
261.5,30,118
261.5,30.5,119
261.5,31,120
261.5,31.5,121
261.5,32,122
261.5,32.5,123
261.5,33,124
261.5,33.5,125
261.5,34,126
262,26.5,127
262,27,128
262,27.5,129
262,28,130
262,28.5,131
262,29,132
262,29.5,133
262,30,134
262,30.5,135
262,31,136
262,31.5,137
262,32,138
262,32.5,139
262,33,140
262,33.5,141
262.5,26,142
262.5,26.5,143
262.5,27,144
262.5,27.5,145
262.5,28,146
262.5,28.5,147
262.5,29,148
262.5,29.5,149
262.5,30,150
262.5,30.5,151
262.5,31,152
262.5,31.5,153
262.5,32,154
262.5,32.5,155
262.5,33,156
262.5,33.5,157
263,28.5,158
263,29,159
263,29.5,160
263,30,161
263,30.5,162
263,31,163
263,31.5,164
263,32,165
263,32.5,166
263,33,167
263,33.5,168
263.5,28.5,169
263.5,29,170
263.5,29.5,171
263.5,30,172
263.5,30.5,173
263.5,31,174
263.5,31.5,175
263.5,32,176
263.5,32.5,177
263.5,33,178
263.5,33.5,179
264,29,180
264,29.5,181
264,30,182
264,30.5,183
264,31,184
264,31.5,185
264,32,186
264,32.5,187
264,33,188
264,33.5,189
264.5,29,190
264.5,29.5,191
264.5,30,192
264.5,30.5,193
264.5,31,194
264.5,31.5,195
264.5,32,196
264.5,32.5,197
264.5,33,198
264.5,33.5,199
265,29.5,200
265,30,201
265,30.5,202
265,31,203
265,31.5,204
265,32,205
265,33,206
265,33.5,207
265.5,30,208
265.5,30.5,209
265.5,31,210
265.5,31.5,211
265.5,32,212
266,30,213
266,30.5,214
266,31,215
266,31.5,216
